Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331198130,5032179,,162804,,2576668,,2292707,18296,15194,492,63139605,190640,Americas
Brazil,South America,212710692,2917562,,98644,,2047660,,771258,8318,13716,464,13206188,62085,Americas
India,Asia,1381344997,2025409,,41638,,1377384,,606387,8944,1466,30,22149351,16035,South-EastAsia
Russia,Europe,145940924,871894,,14606,,676357,,180931,2300,5974,100,29716907,203623,Europe
South Africa,Africa,59381566,538184,,9604,,387316,,141264,539,9063,162,3149807,53044,Africa
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,Americas
Peru,South America,33016319,455409,,20424,,310337,,124648,1426,13793,619,2493429,75521,Americas
Chile,South America,19132514,366671,,9889,,340168,,16614,1358,19165,517,1760615,92022,Americas
Colombia,South America,50936262,357710,,11939,,192355,,153416,1493,7023,234,1801835,35374,Americas
Spain,Europe,46756648,354530,,28500,,,,,617,7582,610,7064329,151087,Europe
Iran,Asia,84097623,320117,,17976,,277463,,24678,4156,3806,214,2612763,31068,EasternMediterranean
UK,Europe,67922029,308134,,46413,,,,,73,4537,683,17515234,257873,Europe
Saudi Arabia,Asia,34865919,284226,,3055,,247089,,34082,1915,8152,88,3635705,104277,EasternMediterranean
Pakistan,Asia,221295851,281863,,6035,,256058,,19770,809,1274,27,2058872,9304,EasternMediterranean
Bangladesh,Asia,164851401,249651,,3306,,143824,,102521,,1514,20,1225124,7432,South-EastAsia
Italy,Europe,60452568,249204,,35187,,201323,,12694,42,4122,582,7099713,117443,Europe
Turkey,Asia,84428331,237265,,5798,,220546,,10921,580,2810,69,5081802,60191,Europe
Argentina,South America,45236884,228195,,4251,,99852,,124092,1150,5044,94,794544,17564,Americas
Germany,Europe,83811260,215210,,9252,,196200,,9758,236,2568,110,8586648,102452,Europe
France,Europe,65288306,195633,,30312,,82460,,82861,384,2996,464,3992206,61147,Europe
Iraq,Asia,40306025,140603,,5161,,101025,,34417,517,3488,128,1092741,27111,EasternMediterranean
Philippines,Asia,109722719,119460,,2150,,66837,,50473,239,1089,20,1669996,15220,WesternPacific
Indonesia,Asia,273808365,118753,,5521,,75645,,37587,,434,20,1633156,5965,South-EastAsia
Canada,North America,37775022,118561,,8966,,103106,,6489,2263,3139,237,4319172,114339,Americas
Qatar,Asia,2807805,112092,,178,,108831,,3083,77,39922,63,511000,181993,EasternMediterranean
Kazakhstan,Asia,18798667,95942,,1058,,68871,,26013,221,5104,56,2163713,115099,Europe
Egypt,Africa,102516525,95006,,4951,,48898,,41157,41,927,48,135000,1317,EasternMediterranean
Ecuador,South America,17668824,90537,,5877,,71318,,13342,378,5124,333,258582,14635,Americas
Bolivia,South America,11688459,86423,1282,3465,80,27373,936,55585,71,7394,296,183583,15706,Americas
Sweden,Europe,10105596,81967,,5766,,,,,38,8111,571,863315,85429,Europe
Oman,Asia,5118446,80713,,492,,70910,,9311,177,15769,96,309212,60411,EasternMediterranean
Israel,Asia,9197590,79559,,576,,53427,,25556,358,8650,63,1872453,203581,Europe
Ukraine,Europe,43705858,76808,,1819,,42524,,32465,158,1757,42,1116641,25549,Europe
Dominican Republic,North America,10858648,76536,,1246,,40539,,34751,317,7048,115,281926,25963,Americas
Panama,North America,4321282,71418,,1574,,45658,,24186,161,16527,364,240995,55769,Americas
Belgium,Europe,11594739,71158,,9859,,17661,,43638,61,6137,850,1767120,152407,Europe
Kuwait,Asia,4276658,70045,,469,,61610,,7966,127,16378,110,522200,122105,EasternMediterranean
Belarus,Europe,9449001,68503,,580,,63756,,4167,,7250,61,1344303,142269,Europe
UAE,Asia,9902079,61845,,354,,55739,,5752,,6246,36,5262658,531470,EasternMediterranean
Romania,Europe,19224023,57895,,2566,,28992,,26337,458,3012,133,1319369,68631,Europe
